SHIPMENT_XID,START_TIME,TOTAL_SHIP_UNIT_COUNT,TOTAL_WEIGHT,TOTAL_VOLUME,FIRST_EQUIPMENT_GROUP_GID,PRINCIPAL,DestName,Region,City,DestZone1,DestZone2,Segment
00362942,2019-03-25 00:00:00,1575,10956.4623,23.881725000000003,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00362939,2019-03-25 00:00:00,1481,15817.674707,34.597779,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00362959,2019-03-25 00:00:00,504,9021.599999999999,13.104,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00363002,2019-03-25 00:00:00,504,9021.599999999999,13.104,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00363219,2019-03-28 07:00:00,926,15194.483999999999,22.74,LFL/TMS/MYS.20T_BOX,UNILEVER,M C MOK SDN BHD,NEGERI SEMBILAN,SEREMBAN,NSN-001,SOUTH,DT-OUTSTATION
00363220,2019-03-25 07:00:00,1293,10927.242327999995,29.218505000000004,LFL/TMS/MYS.20T_BOX,UNILEVER,BOSTAN TRADING SDN BHD,MELAKA,BATU BERENDAM,MLK-003,SOUTH,DT-OUTSTATION
00363221,2019-03-25 07:00:00,1545,11668.738398,36.098681,LFL/TMS/MYS.20T_BOX,UNILEVER,BOSTAN TRADING SDN BHD,MELAKA,BATU BERENDAM,MLK-003,SOUTH,DT-OUTSTATION
00363222,2019-03-25 07:00:00,473,7794.128866,21.163030000000003,LFL/TMS/MYS.20T_BOX,UNILEVER,YOONG SHING TRADING (M) SDN BHD,JOHOR,MASAI,JST-004,SOUTH,DT-OUTSTATION
00363506,2019-03-27 23:00:00,276,1224.56094,2.484,LFL/TMS/MYS.3T,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00361685,2019-03-18 23:00:00,683,4023.7751170000006,12.427883,LFL/TMS/MYS.10T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
